ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1533042911.47417,C5JLGOoxIw2dBZt47,192.168.100.113,123,81.2.254.224,123,udp,,0.00549,48,48,SF,,,0,Dd,1,76,1,76,(empty)
1533042921.47423,Cf3cHf4jZr9nvD808i,192.168.100.113,123,147.231.100.5,123,udp,,0.001741,48,48,SF,,,0,Dd,1,76,1,76,(empty)
1533042944.47439,CJgmSt3bSY6XwE9fzc,192.168.100.113,123,31.31.74.35,123,udp,,0.004495,48,48,SF,,,0,Dd,1,76,1,76,(empty)
1533042976.47418,Cav32m4csR3OZYhShj,192.168.100.113,123,147.251.48.140,123,udp,,0.006988,48,48,SF,,,0,Dd,1,76,1,76,(empty)
1533042988.47436,ClwPfA40tU9UT4nksg,192.168.100.113,123,147.231.100.5,123,udp,,0.001487,48,48,SF,,,0,Dd,1,76,1,76,(empty)
1533043015.47424,CsaylRCZTlkOep3E3,192.168.100.113,123,37.157.198.150,123,udp,,0.004739,48,48,SF,,,0,Dd,1,76,1,76,(empty)
1533043052.47418,Capltr2s2cYjfXbdXk,192.168.100.113,123,147.231.100.5,123,udp,,0.001743,48,48,SF,,,0,Dd,1,76,1,76,(empty)
1533043075.47434,CqXbOUQxMkem0d56b,192.168.100.113,123,31.31.74.35,123,udp,,0.007737,48,48,SF,,,0,Dd,1,76,1,76,(empty)
1533043119.47429,CTCAcJ1iJPprDrgJ4i,192.168.100.113,123,147.231.100.5,123,udp,,0.001493,48,48,SF,,,0,Dd,1,76,1,76,(empty)
1536244205.91178,Cr8he82TG4nO9gqHYi,192.168.100.111,18344,197.53.219.253,52869,tcp,,0.000002,0,0,S0,,,0,S,2,80,0,0,-
1536244205.91179,CUkZuf4qWm8DxHkkp9,192.168.100.111,18344,41.85.215.28,52869,tcp,,0.000002,0,0,S0,,,0,S,2,80,0,0,-
1536244205.91179,COOhPp41FQMa6Myqdb,192.168.100.111,18344,41.9.149.107,52869,tcp,,0.000002,0,0,S0,,,0,S,2,80,0,0,-
1536244205.91202,C15xAR3Pi71yfYgSy,192.168.100.111,18344,156.189.20.232,52869,tcp,,0.000005,0,0,S0,,,0,S,2,80,0,0,-
1536244205.91203,CmZyqH2Vp0YcxjQxw5,192.168.100.111,18344,41.163.227.109,52869,tcp,,0.000002,0,0,S0,,,0,S,2,80,0,0,-
1536244205.91204,CGX8BjfRdzOzH1uWe,192.168.100.111,18344,156.46.73.13,52869,tcp,,0.000001,0,0,S0,,,0,S,2,80,0,0,-
1536244205.91204,CpCK6e2TDFeuwpfkCi,192.168.100.111,18344,156.99.108.28,52869,tcp,,0.000002,0,0,S0,,,0,S,2,80,0,0,-
1536244205.91228,CuKPbC2LFnK78MMT37,192.168.100.111,18344,197.210.23.223,52869,tcp,,0.000004,0,0,S0,,,0,S,2,80,0,0,-
1536244205.91228,CSk919iDzyLuHChSd,192.168.100.111,18344,41.79.31.237,52869,tcp,,0.000002,0,0,S0,,,0,S,2,80,0,0,-
