Time, GPU, Memory Total (MiB), Memory Used (MiB)
16:41:38, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:43, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:48, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:53, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:41:58, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:03, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:08, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:13, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:18, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:23, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:28, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:33, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:38, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:43, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:48, NVIDIA RTX A2000 Laptop GPU, 4096,811
16:42:53, NVIDIA RTX A2000 Laptop GPU, 4096,811
